Dienststelle;Betriebs-Nr;Antrags-Nr;Antrags-Jahr;Produktart;Menge Flasche;Menge Fass;Gesamtmenge AP;Alkohol vorh;Restzucker;Gesamtsäure;Alkohol ges;Gewichtsverhältnis;Cuvee-Nr;Jahrgang;Herkunft;Rebsorte 1;Rebsorte 2;Rebsorte 3;Qualität;Weinart;Geschmack beantr;Abfüllart;Ausbauart;Classic_Selection;Gärverfahren;Gütezeichen;Hochgewächs;Lageprofil;Sonderbezeichnung;Sonderherkunft;Bezeichnung Z1;Bezeichnung Z2;Bezeichnung Z3;Geschmack gesetzl;QP QZ;Ergebnis;Begründung;Bescheiddatum;Präm Auszeichnung;Präm QZ;Präm Datum;Rücknahme
5;021067;0001;2014;W;3775;0;3775;102.7;4.9;8.3;105;0.9942;;2013;Pfalz;Riesling;;;Qualitätswein;Weißwein;trocken;Gutsabfüllung;;;;;;;;;2013 Pfalz ;Riesling Qualitätswein trocken;Gutsabfüllung;trocken;2.83;stattgegeben;;2014-02-11;Silber;4;2014-02-27;
5;021067;0002;2014;W;3855;0;3855;96.8;15.4;8.5;104;0.9993;;2013;Pfalz;Riesling;;;Qualitätswein;Weißwein;ohne Geschmacksangabe;Gutsabfüllung;;;;;;;;;2013 Pfalz ;Riesling Qualitätswein ;Gutsabfüllung;halbtrocken;2.61;stattgegeben;;2014-02-11;Bronze;3.83;2014-02-27;
5;021067;0003;2014;W;1795;0;1795;98;13.4;8.3;104.3;0.9982;;2013;Pfalz;Riesling;;;Qualitätswein;Weißwein;ohne Geschmacksangabe;Gutsabfüllung;;Classic;;;;;;;2013 Pfalz ;Riesling Qualitätswein Classic ;Gutsabfüllung;halbtrocken;2.45;stattgegeben;;2014-02-11;Bronze;3.71;2014-02-27;
5;021067;0004;2014;W;3730;0;3730;81.3;30.4;5.4;95.6;1.0072;;2012;Pfalz;Portugieser;;;Qualitätswein;Rotwein;ohne Geschmacksangabe;Gutsabfüllung;;;;;;;;;2012 Pfalz ;Portugieser Rotwein Qualitätswein ;Gutsabfüllung;lieblich;2.53;stattgegeben;;2014-02-14;;;;
5;021067;0005;2014;W;1510;0;1510;101.9;6.8;5.5;105.1;0.9962;;2011;Pfalz;;;;Qualitätswein;Rotwein;ohne Geschmacksangabe;Gutsabfüllung;;;;;;;;;2011 Pfalz ;Rotwein Qualitätswein ;Gutsabfüllung;trocken;2.63;stattgegeben;;2014-02-14;Bronze;3.63;2014-02-27;
5;021067;0006;2014;W;2890;0;2890;100.5;14.1;6.3;107.1;0.9964;;2012;Pfalz;Kerner;;;Qualitätswein;Weißwein;ohne Geschmacksangabe;Gutsabfüllung;;;;;;;;;2012 Pfalz ;Kerner Qualitätswein ;Gutsabfüllung;halbtrocken;2.23;stattgegeben;;2014-02-14;;;;
5;021067;0007;2014;W;2545;0;2545;80.7;27.1;7;93.4;1.0058;;2013;Pfalz;Portugieser;;;Qualitätswein;Weißherbst;ohne Geschmacksangabe;Gutsabfüllung;;;;;;;;;2013 Pfalz ;Portugieser Weißherbst Qualitätswein ;Gutsabfüllung;lieblich;3.25;stattgegeben;;2014-03-11;Silber;4.25;2014-04-09;
5;021067;0008;2014;W;880;0;880;101;5.2;7.8;103.4;0.9942;;2013;Pfalz;Sauvignon blanc;;;Qualitätswein;Weißwein;ohne Geschmacksangabe;Gutsabfüllung;;;;;;;;;2013 Pfalz ;Sauvignon blanc Qualitätswein ;Gutsabfüllung;trocken;3.09;stattgegeben;;2014-03-11;Silber;4.17;2014-04-09;
5;021067;0009;2014;W;3075;0;3075;101.2;7;7.7;104.5;0.9956;;2013;Pfalz;Chardonnay;;;Qualitätswein;Weißwein;ohne Geschmacksangabe;Gutsabfüllung;;;;;;;;;2013 Pfalz ;Chardonnay Qualitätswein ;Gutsabfüllung;trocken;2.78;stattgegeben;;2014-03-11;Silber;4.13;2014-04-09;
5;021067;0010;2014;W;2280;0;2280;91.1;14.6;8.4;98;1.0004;;2013;Pfalz;Saint Laurent;;;Qualitätswein;Rosé;halbtrocken;Schlossabfüllung;;;;;;;;;2013 Pfalz ;Saint Laurent Rosé Qualitätswein halbtrocken;Schlossabfüllung;halbtrocken;2.44;stattgegeben;;2014-03-27;Silber;4;2014-07-03;
5;021067;0011;2014;W;5740;0;5740;84.9;31.8;5.7;99.8;1.0084;;2012;Pfalz;Dornfelder;;;Qualitätswein;Rotwein;ohne Geschmacksangabe;Gutsabfüllung;;;;;;;;;2012 Pfalz ;Dornfelder Rotwein Qualitätswein ;Gutsabfüllung;lieblich;2;stattgegeben;;2014-03-27;;;;
5;021067;0012;2014;W;2225;0;2225;94.3;13.1;6.5;100.5;0.9964;;2013;Pfalz;Rivaner;;;Qualitätswein;Weißwein;halbtrocken;Gutsabfüllung;;;;;;;;;2013 Pfalz ;Rivaner Qualitätswein halbtrocken;Gutsabfüllung;halbtrocken;2.21;stattgegeben;;2014-05-06;Silber;4;2014-07-03;
5;021067;0013;2014;W;3475;0;3475;98.8;5;5.2;101.2;0.9957;;2012;Pfalz;Dornfelder;;;Qualitätswein;Rotwein;trocken;Gutsabfüllung;;;;;;;;;2012 Pfalz ;Dornfelder Rotwein Qualitätswein trocken;Gutsabfüllung;trocken;2.72;stattgegeben;;2014-05-06;Bronze;3.75;2014-07-03;
5;021067;0014;2014;W;2035;0;2035;100.9;5.7;5.3;103.6;0.9959;;2012;Pfalz;Cabernet Sauvignon;;;Qualitätswein;Rotwein;ohne Geschmacksangabe;Gutsabfüllung;;;;;;;;;2012 Pfalz ;Cabernet Sauvignon Rotwein Qualitätswein ;Gutsabfüllung;trocken;1.72;stattgegeben;;2014-05-06;;3.38;2015-01-29;
5;021067;0015;2014;W;3780;0;3780;109.2;9;7.2;113.4;0.9947;;2013;Pfalz;Grauburgunder;;;Qualitätswein;Weißwein;ohne Geschmacksangabe;Gutsabfüllung;;Classic;;;;;;;2013 Pfalz ;Grauburgunder Qualitätswein Classic ;Gutsabfüllung;trocken;2.28;stattgegeben;;2014-05-14;Silber;4.04;2014-08-11;
5;021067;0016;2014;W;1100;0;1100;99.4;2.4;6.9;100.5;0.9931;;2013;Pfalz;Grüner Silvaner;;;Qualitätswein;Weißwein;trocken;Gutsabfüllung;;;;;;;;;2013 Pfalz ;Grüner Silvaner Qualitätswein trocken;Gutsabfüllung;trocken;2.46;stattgegeben;;2014-05-14;Silber;4;2014-07-03;
5;021067;0017;2014;W;1475;0;1475;87.4;24.2;5.8;98.8;1.0025;;;Pfalz;;;;Qualitätswein;Weißwein;lieblich;Gutsabfüllung;;;;;;;;;Pfalz ;Qualitätswein lieblich;Gutsabfüllung;lieblich;1.94;stattgegeben;;2014-05-16;;;;
